name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
/datum/chemical_reaction/manly_dorf/proc/(init),<?.dm>,4294967295,1282,0.000002,1,1282,1282,1282,0.000000
/obj/item/weapon/gun/rifle/l42a/abr40/tactical/proc/(init),<?.dm>,4294967295,7795,0.000013,1,7795,7795,7795,0.000000
/obj/item/ashtray/bronze/proc/(init),<?.dm>,4294967295,22679,0.000038,11,2061,1532,2605,358.725522
/datum/prefab_document/provost/mp/appeal_form/New,code/modules/paperwork/prefab_papers/provost/military_police/appeal_form.dm,2,41126957,0.069054,1,41126957,41126957,41126957,0.000000
/datum/equipment_preset/survivor/army/engineer/proc/(init),<?.dm>,4294967295,42372,0.000071,8,5296,4239,6924,1116.274416
/obj/item/weapon/gun/revolver/upp/set_gun_attachment_offsets,code/modules/projectiles/guns/revolvers.dm,569,7524,0.000013,3,2508,2234,2946,383.285794
/obj/item/storage/box/kit/UPP_leader_AR/fill_preset_inventory,code/modules/cm_marines/equipment/kit_boxes.dm,682,1421052,0.002386,1,1421052,1421052,1421052,0.000000
/obj/item/hardpoint/primary/dualcannon/set_bullet_traits,code/modules/vehicles/hardpoints/primary/dual_cannon.dm,41,8928,0.000015,4,2232,1903,2385,222.402038
/obj/item/device/assembly/signaller/proc/(init),<?.dm>,4294967295,37147,0.000062,14,2653,2254,3336,317.750628
/datum/action/item_action/specialist/twobore_brace/New,code/modules/projectiles/guns/shotguns.dm,971,55284,0.000093,1,55284,55284,55284,0.000000
/datum/interior/proc/(init),<?.dm>,4294967295,2144,0.000004,1,2144,2144,2144,0.000000
/datum/chemical_reaction/anti_toxin/proc/(init),<?.dm>,4294967295,1453,0.000002,1,1453,1453,1453,0.000000
/obj/effect/decal/cleanable/blood/proc/(init),<?.dm>,4294967295,139041,0.000233,106,1311,741,5401,593.944674
/obj/item/ammo_magazine/rocket/proc/(init),<?.dm>,4294967295,42300,0.000071,24,1762,1273,3276,474.017153
/obj/item/storage/box/chanterelle/fill_preset_inventory,code/game/objects/items/storage/boxes.dm,1039,1011428,0.001698,1,1011428,1011428,1011428,0.000000
/obj/item/poster/New,code/game/objects/effects/decals/posters.dm,12,32640,0.000055,3,10880,6532,14146,3920.623930
/obj/item/storage/box/mre/proc/choose_spread,code/game/objects/items/storage/mre.dm,86,118033154,0.198182,424,278380,255196,442616,19774.768786
/obj/item/stack/fulton/update_icon,code/game/objects/items/fulton.dm,48,28171,0.000047,6,4695,2224,10640,3100.311242
/datum/equipment_preset/us_army/gunner/proc/(init),<?.dm>,4294967295,20558,0.000035,8,2569,2174,3025,266.127789
/datum/equipment_preset/cmb/leader/proc/(init),<?.dm>,4294967295,41197,0.000069,16,2574,2294,2935,214.264167
/obj/effect/decal/cleanable/blood/gibs/xeno/up/proc/(init),<?.dm>,4294967295,1393,0.000002,1,1393,1393,1393,0.000000
/obj/structure/pipes/proc/add_connection,code/game/objects/structures/pipes/pipes.dm,95,8099933,0.013600,10376,780,451,20599,523.646281
/obj/item/clothing/head/hardhat/update_icon,code/modules/clothing/head/hardhat.dm,37,309103,0.000519,107,2888,1893,16181,1510.905829
/datum/radio_frequency/proc/remove_listener,code/controllers/subsystem/communications.dm,514,2004263,0.003365,706,2838,1242,16100,982.300820
/obj/item/attachable/stock/mou53/New,code/modules/projectiles/gun_attachables.dm,2159,106198,0.000178,1,106198,106198,106198,0.000000
/area/almayer/engineering/lower/engine_core/proc/(init),<?.dm>,4294967295,3566,0.000006,1,3566,3566,3566,0.000000
/datum/equipment_preset/dust_raider/specialist/proc/(init),<?.dm>,4294967295,15619,0.000026,8,1952,1653,3697,706.364434
/datum/chemical_reaction/machosauce/grape/proc/(init),<?.dm>,4294967295,1462,0.000002,1,1462,1462,1462,0.000000
/obj/item/storage/belt/gun/on_stored_atom_del,code/game/objects/items/storage/belt.dm,1437,499333,0.000838,122,4092,451,38191,8548.746767
/obj/structure/blocker/invisible_wall/New,code/game/objects/structures/blocker.dm,35,1308363,0.002197,778,1681,1122,4709,422.320261
/datum/equipment_preset/contractor/New,code/modules/gear_presets/contractor.dm,12,927303,0.001557,104,8916,7524,24496,2112.902290
/datum/crewmonitor/proc/(init),<?.dm>,4294967295,4980,0.000008,2,2490,2375,2605,162.634560
/datum/equipment_preset/uscm_ship/liaison/New,code/modules/gear_presets/uscm_ship.dm,61,96961,0.000163,8,12120,11010,14217,1044.817619
/datum/equipment_preset/corpse/engineer/proc/(init),<?.dm>,4294967295,13595,0.000023,8,1699,1643,1764,47.537955
/proc/random_body_size,code/__HELPERS/mobs.dm,11,591,0.000001,1,591,591,591,0.000000
/datum/equipment_preset/uscm/proc/(init),<?.dm>,4294967295,68237,0.000115,8,8529,7804,10159,909.291640
/obj/item/attachable/stock/smg/collapsible/apply_on_weapon,code/modules/projectiles/gun_attachables.dm,2804,102121,0.000171,2,51060,50194,51927,1225.416256
/datum/prefab_document/provost/mp/confiscation_receipt/New,code/modules/paperwork/prefab_papers/provost/military_police/confiscation_receipt.dm,2,535990,0.000900,1,535990,535990,535990,0.000000
/obj/item/storage/fancy/vials/proc/(init),<?.dm>,4294967295,47537,0.000080,14,3395,2695,6643,1034.388002
/datum/controller/subsystem/processing/dcs/proc/GetIdFromArguments,code/controllers/subsystem/dcs.dm,33,1860087,0.003123,148,12568,2976,31098,7478.467171
/obj/structure/surface/rack/initialize_pass_flags,code/game/objects/structures/tables_racks.dm,691,618029,0.001038,708,872,460,15368,953.504646
/datum/reagent/ethanol/cognac/proc/(init),<?.dm>,4294967295,6072,0.000010,2,3036,2705,3367,468.104689
/obj/item/stack/sheet/mineral/uranium/Initialize,code/game/objects/items/stacks/sheets/mineral.dm,181,285924,0.000480,3,95308,83336,101550,10371.216129
/datum/equipment_preset/synth/survivor/atc_synth/proc/(init),<?.dm>,4294967295,53118,0.000089,8,6639,5790,9097,1230.572805
/obj/item/storage/backpack/marine/satchel/rto/Destroy,code/game/objects/items/storage/backpack.dm,776,879122,0.001476,2,439561,426206,452916,18886.822125
/datum/controller/master/proc/CheckQueue,code/controllers/mc/master.dm,585,16729979,0.028090,582,28745,13666,60533,5252.097814
